ID;DATAFLOW;COUNTRY;TIME_PERIOD;INFMORRT
SE_2017;ESTAT:TPS00027(1.0);SE;2017;2.4
SE_2018;ESTAT:TPS00027(1.0);SE;2018;2.0
SE_2019;ESTAT:TPS00027(1.0);SE;2019;2.1
SE_2020;ESTAT:TPS00027(1.0);SE;2020;2.4
SE_2021;ESTAT:TPS00027(1.0);SE;2021;1.8
SE_2022;ESTAT:TPS00027(1.0);SE;2022;2.2
SI_2011;ESTAT:TPS00027(1.0);SI;2011;2.9
SI_2012;ESTAT:TPS00027(1.0);SI;2012;1.6
SI_2013;ESTAT:TPS00027(1.0);SI;2013;2.9
SI_2014;ESTAT:TPS00027(1.0);SI;2014;1.8
SI_2015;ESTAT:TPS00027(1.0);SI;2015;1.6
SI_2016;ESTAT:TPS00027(1.0);SI;2016;2.0
SI_2017;ESTAT:TPS00027(1.0);SI;2017;2.1
SI_2018;ESTAT:TPS00027(1.0);SI;2018;1.7
SI_2019;ESTAT:TPS00027(1.0);SI;2019;2.1
SI_2020;ESTAT:TPS00027(1.0);SI;2020;2.2
SI_2021;ESTAT:TPS00027(1.0);SI;2021;1.8
SI_2022;ESTAT:TPS00027(1.0);SI;2022;2.5
SK_2011;ESTAT:TPS00027(1.0);SK;2011;4.9
SK_2012;ESTAT:TPS00027(1.0);SK;2012;5.8
SK_2013;ESTAT:TPS00027(1.0);SK;2013;5.5
SK_2014;ESTAT:TPS00027(1.0);SK;2014;5.8
SK_2015;ESTAT:TPS00027(1.0);SK;2015;5.1
SK_2016;ESTAT:TPS00027(1.0);SK;2016;5.4
SK_2017;ESTAT:TPS00027(1.0);SK;2017;4.5
SK_2018;ESTAT:TPS00027(1.0);SK;2018;5.0
SK_2019;ESTAT:TPS00027(1.0);SK;2019;5.1
SK_2020;ESTAT:TPS00027(1.0);SK;2020;5.1
SK_2021;ESTAT:TPS00027(1.0);SK;2021;4.9
SK_2022;ESTAT:TPS00027(1.0);SK;2022;5.4
SM_2011;ESTAT:TPS00027(1.0);SM;2011;3.1
SM_2012;ESTAT:TPS00027(1.0);SM;2012;0.0
SM_2017;ESTAT:TPS00027(1.0);SM;2017;0.0
TR_2011;ESTAT:TPS00027(1.0);TR;2011;11.7
TR_2012;ESTAT:TPS00027(1.0);TR;2012;11.6
TR_2013;ESTAT:TPS00027(1.0);TR;2013;10.8
TR_2014;ESTAT:TPS00027(1.0);TR;2014;11.1
TR_2015;ESTAT:TPS00027(1.0);TR;2015;10.7
TR_2016;ESTAT:TPS00027(1.0);TR;2016;10.0
TR_2017;ESTAT:TPS00027(1.0);TR;2017;9.2
TR_2018;ESTAT:TPS00027(1.0);TR;2018;9.3
TR_2019;ESTAT:TPS00027(1.0);TR;2019;9.1
TR_2022;ESTAT:TPS00027(1.0);TR;2022;9.2
UA_2011;ESTAT:TPS00027(1.0);UA;2011;9.0
UA_2012;ESTAT:TPS00027(1.0);UA;2012;8.4
UA_2013;ESTAT:TPS00027(1.0);UA;2013;8.0
UA_2014;ESTAT:TPS00027(1.0);UA;2014;7.8
UA_2015;ESTAT:TPS00027(1.0);UA;2015;8.1
UA_2016;ESTAT:TPS00027(1.0);UA;2016;7.4
UA_2017;ESTAT:TPS00027(1.0);UA;2017;7.7
UA_2018;ESTAT:TPS00027(1.0);UA;2018;7.1
UA_2019;ESTAT:TPS00027(1.0);UA;2019;7.1
UA_2020;ESTAT:TPS00027(1.0);UA;2020;6.8
UA_2021;ESTAT:TPS00027(1.0);UA;2021;7.2
UK_2011;ESTAT:TPS00027(1.0);UK;2011;4.2
UK_2012;ESTAT:TPS00027(1.0);UK;2012;4.0
UK_2013;ESTAT:TPS00027(1.0);UK;2013;3.9
UK_2014;ESTAT:TPS00027(1.0);UK;2014;3.9
UK_2015;ESTAT:TPS00027(1.0);UK;2015;3.9
UK_2016;ESTAT:TPS00027(1.0);UK;2016;3.8
UK_2017;ESTAT:TPS00027(1.0);UK;2017;3.9
UK_2018;ESTAT:TPS00027(1.0);UK;2018;3.9
XK_2011;ESTAT:TPS00027(1.0);XK;2011;13.1
XK_2012;ESTAT:TPS00027(1.0);XK;2012;11.4
XK_2015;ESTAT:TPS00027(1.0);XK;2015;9.7
XK_2016;ESTAT:TPS00027(1.0);XK;2016;8.5
XK_2017;ESTAT:TPS00027(1.0);XK;2017;9.7
XK_2018;ESTAT:TPS00027(1.0);XK;2018;10.6
XK_2019;ESTAT:TPS00027(1.0);XK;2019;8.7
